video_id,title,description,tags,channel_id,channel_title,published_at,view_count,like_count,comment_count,duration,genres_list,primary_genre,text
Yqq5UbDVTWI,"If You Dig It, You Keep It!","If you find the expensive item in the sand, you can keep it!

SUBSCRIBE!
Stay Wild Gaming: ‪@StayWild-Gaming 
Stay Wild Reacts: ‪@StayWild-Reacts 
Ben Azelart: ‪@BenAzelart 
Cam Huff: ‪@CamHuff 
Vlad and Chris: ‪@vladandchris1 

NEW VIDEOS EVERY WEEK!!

subscribe:)",Ben Azelart|Stay Wild|Stay Wild Vlogs|Cam Huff|Stay Wild Reacts|Stay Wild Gaming,UClQ3NafOy_42dJ0toK3QUKw,Stay Wild,2025-10-19T16:32:39Z,23803839,327251,12310,PT43M50S,['Battle Royale'],Battle Royale,"If You Dig It, You Keep It! If you find the expensive item in the sand, you can keep it!

SUBSCRIBE!
Stay Wild Gaming: ‪@StayWild-Gaming 
Stay Wild Reacts: ‪@StayWild-Reacts 
Ben Azelart: ‪@BenAzelart 
Cam Huff: ‪@CamHuff 
Vlad and Chris: ‪@vladandchris1 

NEW VIDEOS EVERY WEEK!!

subscribe:) Ben Azelart|Stay Wild|Stay Wild Vlogs|Cam Huff|Stay Wild Reacts|Stay Wild Gaming"
9OHRtUHezTk,"$10,000 Every Boss You Beat","The new Feastables Hazelnut Cups are now available at Five Below, Circle K, and Albertsons locations nationwide! Go find them 👉https://fstbls.com/5mj6dv

SUBSCRIBE OR YOU'LL HAVE BAD LUCK

New Merch - https://mrbeast.store/

Join our discord server for your chance to compete in future Minecraft challenges!
https://discord.gg/mrbeastgaming

Check out Viewstats! - https://www.viewstats.com/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com
----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
--------------------------------------------------------------------",,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,2025-08-23T16:00:22Z,20400685,351317,4825,PT26M43S,['Sandbox'],Sandbox,"$10,000 Every Boss You Beat The new Feastables Hazelnut Cups are now available at Five Below, Circle K, and Albertsons locations nationwide! Go find them 👉https://fstbls.com/5mj6dv

SUBSCRIBE OR YOU'LL HAVE BAD LUCK

New Merch - https://mrbeast.store/

Join our discord server for your chance to compete in future Minecraft challenges!
https://discord.gg/mrbeastgaming

Check out Viewstats! - https://www.viewstats.com/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com
----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
-------------------------------------------------------------------- "
YWeEE9vchDo,"$1 vs $25,000 Trap","You won’t believe how wild these traps are

SUBSCRIBE OR YOU'LL HAVE BAD LUCK

New Merch - https://mrbeast.store/

Join our discord server for your chance to compete in future Minecraft challenges!
https://discord.gg/mrbeastgaming

Check out Viewstats! - https://www.viewstats.com/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com
----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
--------------------------------------------------------------------",,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,2025-09-06T16:00:01Z,15796968,285076,3852,PT14M23S,['Sandbox'],Sandbox,"$1 vs $25,000 Trap You won’t believe how wild these traps are

SUBSCRIBE OR YOU'LL HAVE BAD LUCK

New Merch - https://mrbeast.store/

Join our discord server for your chance to compete in future Minecraft challenges!
https://discord.gg/mrbeastgaming

Check out Viewstats! - https://www.viewstats.com/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com
----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
-------------------------------------------------------------------- "
ICNtItWYMNE,"Survive This Explosion = Win $1,000,000","These explosions could cost me millions in cash lol

Run to 7Eleven or Speedway and get the new Feastables Chocolate Milk and Sour Strikes Gummies! 👉 https://fstbls.com/5mj6dv

SUBSCRIBE OR YOU'LL HAVE BAD LUCK

New Merch - https://mrbeast.store

Join our discord server for your chance to compete in future Minecraft challenges!
https://discord.gg/mrbeastgaming
----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
--------------------------------------------------------------------",,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,2025-10-18T16:00:01Z,12016434,293734,7774,PT17M50S,['Sandbox'],Sandbox,"Survive This Explosion = Win $1,000,000 These explosions could cost me millions in cash lol

Run to 7Eleven or Speedway and get the new Feastables Chocolate Milk and Sour Strikes Gummies! 👉 https://fstbls.com/5mj6dv

SUBSCRIBE OR YOU'LL HAVE BAD LUCK

New Merch - https://mrbeast.store

Join our discord server for your chance to compete in future Minecraft challenges!
https://discord.gg/mrbeastgaming
----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
-------------------------------------------------------------------- "
xwfJ2TalgpM,"Clean The Sports Car, Keep It!","We competed in a satisfying sports car cleaning competition! If you clean your car better, you can keep it!

SUBSCRIBE!
Stay Wild Gaming: ‪@StayWild-Gaming 
Stay Wild Reacts: ‪@StayWild-Reacts 
Ben Azelart: ‪@BenAzelart 
Cam Huff: ‪@CamHuff 
Vlad and Chris: ‪@vladandchris1 

NEW VIDEOS EVERY WEEK!!

subscribe:)",Ben Azelart|Stay Wild|Stay Wild Vlogs|Cam Huff|Stay Wild Reacts|Stay Wild Gaming,UClQ3NafOy_42dJ0toK3QUKw,Stay Wild,2025-11-09T16:57:04Z,9164513,100089,4667,PT32M6S,['Battle Royale'],Battle Royale,"Clean The Sports Car, Keep It! We competed in a satisfying sports car cleaning competition! If you clean your car better, you can keep it!

SUBSCRIBE!
Stay Wild Gaming: ‪@StayWild-Gaming 
Stay Wild Reacts: ‪@StayWild-Reacts 
Ben Azelart: ‪@BenAzelart 
Cam Huff: ‪@CamHuff 
Vlad and Chris: ‪@vladandchris1 

NEW VIDEOS EVERY WEEK!!

subscribe:) Ben Azelart|Stay Wild|Stay Wild Vlogs|Cam Huff|Stay Wild Reacts|Stay Wild Gaming"
mpyk0XKUCo8,ASMR Keyboard Clicky VS Keyboard Madu! [Roblox Indonesia] #shorts,"Jangan lupa subscribe channel utamaku Fanny Tjandra: https://www.youtube.com/c/FannyTjandra
- Instagram: https://www.instagram.com/fannytjandra0121/
- Tiktok: https://vt.tiktok.com/ZSeJVtPcu/

#shorts",roblox|roblox indonesia|roblox obby|pastel obby|roblox parkour|roblox fanny tjandra|fanny tjandra|fanny tjandra roblox|roblox robux|robux gratis|roblox map|roblox aesthetic|roblox tower of hell|tower of dream|roblox cotton obby|roblox my melody|roblox sailor|roblox pink|roblox animation|roblox drama|roblox roleplay|fanny tjandra storytime|fanny tjandra shorts|fanny tjandra tiktok,UCdDoEvtA9Hl0g7d6dvgGtYw,Fanny Tjandra TV,2025-10-20T06:00:44Z,13206273,81813,1294,PT26S,['Sandbox'],Sandbox,"ASMR Keyboard Clicky VS Keyboard Madu! [Roblox Indonesia] #shorts Jangan lupa subscribe channel utamaku Fanny Tjandra: https://www.youtube.com/c/FannyTjandra
- Instagram: https://www.instagram.com/fannytjandra0121/
- Tiktok: https://vt.tiktok.com/ZSeJVtPcu/

#shorts roblox|roblox indonesia|roblox obby|pastel obby|roblox parkour|roblox fanny tjandra|fanny tjandra|fanny tjandra roblox|roblox robux|robux gratis|roblox map|roblox aesthetic|roblox tower of hell|tower of dream|roblox cotton obby|roblox my melody|roblox sailor|roblox pink|roblox animation|roblox drama|roblox roleplay|fanny tjandra storytime|fanny tjandra shorts|fanny tjandra tiktok"
36UJYwv__HA,"Most Expensive Art Wins $10,000!","We customized expensive items like an iPhone, PS5, and even a Tesla! The winner gets $10,000!

SUBSCRIBE!
Stay Wild Gaming: ‪@StayWild-Gaming 
Stay Wild Reacts: ‪@StayWild-Reacts 
Ben Azelart: ‪@BenAzelart 
Cam Huff: ‪@CamHuff 
Vlad and Chris: ‪@vladandchris1 

NEW VIDEOS EVERY WEEK!!

subscribe:)",Ben Azelart|Stay Wild|Stay Wild Vlogs|Cam Huff|Stay Wild Reacts|Stay Wild Gaming,UClQ3NafOy_42dJ0toK3QUKw,Stay Wild,2025-10-26T19:24:36Z,6493082,76716,19082,PT2H51M29S,['Battle Royale'],Battle Royale,"Most Expensive Art Wins $10,000! We customized expensive items like an iPhone, PS5, and even a Tesla! The winner gets $10,000!

SUBSCRIBE!
Stay Wild Gaming: ‪@StayWild-Gaming 
Stay Wild Reacts: ‪@StayWild-Reacts 
Ben Azelart: ‪@BenAzelart 
Cam Huff: ‪@CamHuff 
Vlad and Chris: ‪@vladandchris1 

NEW VIDEOS EVERY WEEK!!

subscribe:) Ben Azelart|Stay Wild|Stay Wild Vlogs|Cam Huff|Stay Wild Reacts|Stay Wild Gaming"
-RXJolDKzLs,Lagu Anak Anak | Suka Hati ⭐️ | Bahasa Indonesia | BaLiTa | Baba Lili Tata,"Lagu Anak Anak | Suka Hati ⭐️ | Bahasa Indonesia | BaLiTa | Baba Lili Tata

Official Merchandise Balita
Shopee: https://shopee.co.id/balita.co
Tokoedia: http://www.tokopedia.com/balitashop

Website: https://balita.co

Games
Balita Happy Kids Game: https://play.google.com/store/apps/details?id=balita.co.happykidsgame
Balita Supermarket Kids Game: https://play.google.com/store/apps/details?id=balita.co.supermarketkidsgameFREE

Channel: https://www.youtube.com/channel/UC5Tg_aUYKBtpnGipTVqDDuQ

Instagram: http://instagram.com/balita_ig

TikTok: http://tiktok.com/@balita_tiktok

Bahan Ajar Balita: https://www.twinkl.co.id/l/yigmw",lagu anak|lagu anak anak|lagu anak indonesia|balita|baba lili tata|kartun anak|lagu anak lucu|lagu anak terpopuler|suka hati|kalau kau suka hati|kalau kau suka hati tepuk tangan|lagu anak indonesia viral|lagu anak indonesia terbaru|lagu anak indonesia balita|kartun lucu|happy and you know it|if you're happy and you know it|clap your hands|nursery rhymes|kids song|children song,UC5Tg_aUYKBtpnGipTVqDDuQ,BaLiTa - Baba Lili Tata,2025-10-25T02:00:03Z,4616023,7146,0,PT3M41S,['Battle Royale'],Battle Royale,"Lagu Anak Anak | Suka Hati ⭐️ | Bahasa Indonesia | BaLiTa | Baba Lili Tata Lagu Anak Anak | Suka Hati ⭐️ | Bahasa Indonesia | BaLiTa | Baba Lili Tata

Official Merchandise Balita
Shopee: https://shopee.co.id/balita.co
Tokoedia: http://www.tokopedia.com/balitashop

Website: https://balita.co

Games
Balita Happy Kids Game: https://play.google.com/store/apps/details?id=balita.co.happykidsgame
Balita Supermarket Kids Game: https://play.google.com/store/apps/details?id=balita.co.supermarketkidsgameFREE

Channel: https://www.youtube.com/channel/UC5Tg_aUYKBtpnGipTVqDDuQ

Instagram: http://instagram.com/balita_ig

TikTok: http://tiktok.com/@balita_tiktok

Bahan Ajar Balita: https://www.twinkl.co.id/l/yigmw lagu anak|lagu anak anak|lagu anak indonesia|balita|baba lili tata|kartun anak|lagu anak lucu|lagu anak terpopuler|suka hati|kalau kau suka hati|kalau kau suka hati tepuk tangan|lagu anak indonesia viral|lagu anak indonesia terbaru|lagu anak indonesia balita|kartun lucu|happy and you know it|if you're happy and you know it|clap your hands|nursery rhymes|kids song|children song"
iiS7S7FF7Qw,GAGAL MULU DI RASA INI TOWER! [Roblox Indonesia] #shorts,"Jangan lupa subscribe channel utamaku Fanny Tjandra: https://www.youtube.com/c/FannyTjandra
- Instagram: https://www.instagram.com/fannytjandra0121/
- Tiktok: https://vt.tiktok.com/ZSeJVtPcu/

#shorts",,UCdDoEvtA9Hl0g7d6dvgGtYw,Fanny Tjandra TV,2025-09-05T06:00:45Z,7404772,37454,734,PT27S,['Sandbox'],Sandbox,"GAGAL MULU DI RASA INI TOWER! [Roblox Indonesia] #shorts Jangan lupa subscribe channel utamaku Fanny Tjandra: https://www.youtube.com/c/FannyTjandra
- Instagram: https://www.instagram.com/fannytjandra0121/
- Tiktok: https://vt.tiktok.com/ZSeJVtPcu/

#shorts "
uNgCzh-WAx8,Yuk Jadi Tukang Nasi Goreng - Obsessed Night Shift Indonesia,"Asik ada game Horror Indonesia baru lagi nih namanya Obsessed Night Shift yang menceritakan seorang anak yang masuk sekolah yang merawat ibunya yang lagi sakit, dan mendapatkan pekerjaan untuk menjadi tukang Nasi Goreng
#MiawAug #horrorgame #horror #Obsessednightshift

Subscribe : http://www.youtube.com/user/miawaug?sub_confirmation=1
Be a Member : https://www.youtube.com/miawaug/join 

Kumpulan Horror Game : https://www.youtube.com/playlist?list=PL7Kldd0cHcR8beT9oJqBWikBhfnEDezVt

Game : https://store.steampowered.com/app/3831660/Obsessed__Night_Shift/

Mau Kepoin gw di Social Media ? Kesini aja, ada Link IG FB Tiktok DLL
https://msha.ke/miawaugyt

Untuk Email Bisnis kalian bisa masukan di
Email ► miawaug@ gmail [.]com

Thanks Guys....

Intro Music : 
- Mark G - Never Let You Go
- Support Mark G:
https://fanlink.to/markgneverletyougo
https://www.twitter.com/markgmusic
https://www.instagram.com/markgtheartist",miawaug|Obsessed Night Shift|Obsessed Night Shift Game|game|Indonesia|MiawAug|Miaw|Aug|Horror game|Game|MiawAug Horror|horor|seram|Ghost|hantu|berhantu|gameplay|game baru|baru|new|end|ending|tamat|full gameplay|Obsessed Night Shift Horror Game|Night Shift Horror|2025|bad|good|true|all ending|game indonesia|game horror indonesia,UC3J4Q1grz46bdJ7NJLd4DGw,MiawAug,2025-08-23T10:15:05Z,3271707,57858,2632,PT1H9M41S,['Horror'],Horror,"Yuk Jadi Tukang Nasi Goreng - Obsessed Night Shift Indonesia Asik ada game Horror Indonesia baru lagi nih namanya Obsessed Night Shift yang menceritakan seorang anak yang masuk sekolah yang merawat ibunya yang lagi sakit, dan mendapatkan pekerjaan untuk menjadi tukang Nasi Goreng
#MiawAug #horrorgame #horror #Obsessednightshift

Subscribe : http://www.youtube.com/user/miawaug?sub_confirmation=1
Be a Member : https://www.youtube.com/miawaug/join 

Kumpulan Horror Game : https://www.youtube.com/playlist?list=PL7Kldd0cHcR8beT9oJqBWikBhfnEDezVt

Game : https://store.steampowered.com/app/3831660/Obsessed__Night_Shift/

Mau Kepoin gw di Social Media ? Kesini aja, ada Link IG FB Tiktok DLL
https://msha.ke/miawaugyt

Untuk Email Bisnis kalian bisa masukan di
Email ► miawaug@ gmail [.]com

Thanks Guys....

Intro Music : 
- Mark G - Never Let You Go
- Support Mark G:
https://fanlink.to/markgneverletyougo
https://www.twitter.com/markgmusic
https://www.instagram.com/markgtheartist miawaug|Obsessed Night Shift|Obsessed Night Shift Game|game|Indonesia|MiawAug|Miaw|Aug|Horror game|Game|MiawAug Horror|horor|seram|Ghost|hantu|berhantu|gameplay|game baru|baru|new|end|ending|tamat|full gameplay|Obsessed Night Shift Horror Game|Night Shift Horror|2025|bad|good|true|all ending|game indonesia|game horror indonesia"
